
Team Code, Team Name,Record,Elevation,Crowd Impact,Normalizing Constant,Point Advantage,
ARI,Arizona Cardinals,0.46,0.3873,0.32,2,3.16,
ATL,Atlanta Falcons,0.53,0.2809,-0.72,2,2.09,
BAL,Baltimore Ravens,0.61,-0.2896,0.14,2,2.46,
BUF,Buffalo Bills,0.82,0.0009,0.23,2,3.05,
CAR,Carolina Panthers,0.48,0.0520,0.44,2,2.98,
CHI,Chicago Bears,0.57,-0.0012,-1.64,2,0.93,
CIN,Cincinnati Bengals,0.44,0.1003,-0.50,2,2.04,
CLE,Cleveland Browns,0.36,0.0380,-0.81,2,1.59,
DAL,Dallas Cowboys,0.49,-0.0810,3.57,2,5.98,
DEN,Denver Broncos,0.80,3.2769,0.90,2,6.98,
DET,Detroit Lions,0.68,0.0401,-0.74,2,1.98,
GB,Green Bay Packers,0.66,-0.0124,1.28,2,3.93,
HOU,Houston Texans,0.58,-0.3456,0.21,2,2.44,
IND,Indianapolis Colts,0.77,0.0842,-0.68,2,2.17,
JAX,Jacksonville Jaguars,0.50,-0.4170,-0.58,2,1.51,
KC,Kansas City Chiefs,0.82,0.2172,0.64,2,3.68,
LV,Las Vegas Raiders,0.30,0.9809,-1.06,2,2.22,
LAC,Los Angeles Chargers,0.63,-0.2056,0.29,2,2.71,
LA,Los Angeles Rams,0.63,-0.2056,0.51,2,2.94,
MIA,Miami Dolphins,0.56,-0.4149,-0.53,2,1.61,
MIN,Minnesota Vikings,0.57,0.1430,-0.37,2,2.34,
NE,New England Patriots,0.54,-0.2196,-0.72,2,1.61,
NO,New Orleans Saints,0.36,-0.4146,0.10,2,2.05,
NYG,New York Giants,0.32,-0.4170,1.92,2,3.82,
NYJ,New York Jets,0.33,-0.4170,0.88,2,2.79,
PHI,Philadelphia Eagles,0.78,-0.3918,0.08,2,2.47,
PIT,Pittsburgh Steelers,0.66,0.0989,-0.21,2,2.55,
SF,San Francisco 49ers,0.49,-0.3827,0.23,2,2.34,
SEA,Seattle Seahawks,0.52,-0.3176,-0.10,2,2.11,
TB,Tampa Bay Buccaneers,0.52,-0.3855,-0.85,2,1.28,
TEN,Tennessee Titans,0.41,-0.0313,-1.50,2,0.88,
WAS,Washington Commanders,0.55,-0.3631,-0.74,2,1.44,



