"conference","seed","team","total_wins"
"AFC",1,"DEN",12
"AFC",2,"NE",12
"AFC",3,"BAL",11
"AFC",4,"IND",11
"AFC",5,"KC",11
"AFC",6,"JAX",10
"AFC",7,"BUF",9
"NFC",1,"PHI",13
"NFC",2,"SF",13
"NFC",3,"SEA",12
"NFC",4,"GB",11.5
"NFC",5,"TB",11
"NFC",6,"DET",10
"NFC",7,"CAR",9
"AFC",1,"JAX",13
"AFC",2,"NE",13
"AFC",3,"LAC",12
"AFC",4,"BUF",11
"AFC",5,"IND",11
"AFC",6,"DEN",10
"AFC",7,"BAL",9
"NFC",1,"GB",13.5
"NFC",2,"SEA",12
"NFC",3,"CHI",11
"NFC",4,"PHI",11
"NFC",5,"SF",11
"NFC",6,"DAL",10.5
"NFC",7,"CAR",10
"AFC",1,"JAX",13
"AFC",2,"NE",13
"AFC",3,"DEN",12
"AFC",4,"BUF",11
"AFC",5,"HOU",11
"AFC",6,"LAC",11
"AFC",7,"PIT",9
"NFC",1,"SF",13
"NFC",2,"PHI",12
"NFC",3,"GB",11.5
"NFC",4,"TB",11
"NFC",5,"DET",10
"NFC",6,"SEA",10
"NFC",7,"CAR",9
"AFC",1,"DEN",13
"AFC",2,"BUF",12
"AFC",3,"NE",12
"AFC",4,"JAX",11
"AFC",5,"BAL",10
"AFC",6,"HOU",10
"AFC",7,"IND",10
"NFC",1,"SF",12
"NFC",2,"SEA",12
"NFC",3,"CHI",11
"NFC",4,"PHI",11
"NFC",5,"GB",10.5
"NFC",6,"DET",10
"NFC",7,"TB",10
"AFC",1,"DEN",13
"AFC",2,"BUF",12
"AFC",3,"IND",12
"AFC",4,"NE",12
"AFC",5,"HOU",11
"AFC",6,"BAL",10
"AFC",7,"KC",10
"NFC",1,"GB",11.5
"NFC",2,"SF",11
"NFC",3,"TB",11
"NFC",4,"CHI",10
"NFC",5,"DET",10
"NFC",6,"PHI",10
"NFC",7,"DAL",9.5
"AFC",1,"BUF",13
"AFC",2,"DEN",13
"AFC",3,"NE",12
"AFC",4,"LAC",11
"AFC",5,"BAL",10
"AFC",6,"HOU",10
"AFC",7,"IND",10
"NFC",1,"SEA",14
"NFC",2,"CHI",12
"NFC",3,"SF",11
"NFC",4,"GB",10.5
"NFC",5,"PHI",10
"NFC",6,"CAR",8
"NFC",7,"DET",8
"AFC",1,"DEN",14
"AFC",2,"NE",14
"AFC",3,"IND",12
"AFC",4,"JAX",11
"AFC",5,"LAC",11
"AFC",6,"BUF",9
"AFC",7,"BAL",8
"NFC",1,"SEA",13
"NFC",2,"GB",12.5
"NFC",3,"PHI",12
"NFC",4,"SF",11
"NFC",5,"CHI",10
"NFC",6,"DET",10
"NFC",7,"TB",9
"AFC",1,"BUF",13
"AFC",2,"NE",13
"AFC",3,"DEN",12
"AFC",4,"HOU",10
"AFC",5,"KC",10
"AFC",6,"LAC",10
"AFC",7,"PIT",9
"NFC",1,"CHI",12
"NFC",2,"SEA",12
"NFC",3,"GB",11.5
"NFC",4,"PHI",11
"NFC",5,"SF",11
"NFC",6,"TB",11
"NFC",7,"DET",10
"AFC",1,"DEN",14
"AFC",2,"BUF",12
"AFC",3,"LAC",12
"AFC",4,"NE",12
"AFC",5,"JAX",11
"AFC",6,"IND",10
"AFC",7,"BAL",8
"NFC",1,"CHI",12
"NFC",2,"DET",12
"NFC",3,"PHI",12
"NFC",4,"SEA",12
"NFC",5,"CAR",11
"NFC",6,"SF",11
"NFC",7,"GB",10.5
"AFC",1,"NE",13
"AFC",2,"BUF",12
"AFC",3,"DEN",12
"AFC",4,"IND",12
"AFC",5,"JAX",10
"AFC",6,"KC",10
"AFC",7,"BAL",9
"NFC",1,"SF",13
"NFC",2,"GB",11.5
"NFC",3,"SEA",11
"NFC",4,"CHI",10
"NFC",5,"DET",10
"NFC",6,"PHI",10
"NFC",7,"CAR",9
