Tm,W,L,T,ProjW,Weighted_ProjW,Start_Elo
Kansas City Chiefs,15,2,0,11.5,12.9,1128
Buffalo Bills,13,4,0,12.5,12.7,1128
Baltimore Ravens,12,5,0,11.5,11.7,1096
Houston Texans,10,7,0,9.5,9.7,1032
Los Angeles Chargers,11,6,0,9.5,10.1,1064
Pittsburgh Steelers,10,7,0,8.5,9.1,1032
Denver Broncos,10,7,0,9.5,9.7,1032
Cincinnati Bengals,9,8,0,9.5,9.3,1032
Indianapolis Colts,8,9,0,7.5,7.7,968
Miami Dolphins,8,9,0,7.5,7.7,968
New York Jets,5,12,0,6.5,5.9,904
Jacksonville Jaguars,4,13,0,7.5,6.1,936
New England Patriots,4,13,0,8.5,6.7,936
Las Vegas Raiders,4,13,0,6.5,5.5,904
Cleveland Browns,3,14,0,5.5,4.5,872
Tennessee Titans,3,14,0,6.5,5.1,904
Detroit Lions,15,2,0,10.5,12.3,1128
Philadelphia Eagles,14,3,0,11.5,12.5,1128
Tampa Bay Buccaneers,10,7,0,9.5,9.7,1032
Los Angeles Rams,10,7,0,9.5,9.7,1032
Minnesota Vikings,14,3,0,9.5,11.3,1096
Washington Commanders,12,5,0,9.5,10.5,1064
Green Bay Packers,11,6,0,10.5,10.7,1064
Seattle Seahawks,10,7,0,8.5,9.1,1032
Atlanta Falcons,8,9,0,8.5,8.3,1000
Arizona Cardinals,8,9,0,8.5,8.3,1000
Dallas Cowboys,7,10,0,7.5,7.3,968
San Francisco 49ers,6,11,0,10.5,8.7,1000
Chicago Bears,5,12,0,8.5,7.1,968
Carolina Panthers,5,12,0,6.5,5.9,904
New Orleans Saints,5,12,0,4.5,4.7,872
New York Giants,3,14,0,5.5,4.5,872
